listing_url,new_price
https://www.airbnb.com/rooms/4095642,91.0
https://www.airbnb.com/rooms/4192385,78.0
https://www.airbnb.com/rooms/4217132,104.0
https://www.airbnb.com/rooms/4272878,
https://www.airbnb.com/rooms/4302720,
https://www.airbnb.com/rooms/4380779,76.0
https://www.airbnb.com/rooms/4384008,94.0
https://www.airbnb.com/rooms/4444296,104.0
https://www.airbnb.com/rooms/4445634,91.0
https://www.airbnb.com/rooms/4461618,
https://www.airbnb.com/rooms/4546986,156.0
https://www.airbnb.com/rooms/4557664,78.0
https://www.airbnb.com/rooms/4579502,85.0
https://www.airbnb.com/rooms/4619846,121.0
https://www.airbnb.com/rooms/4640036,129.0
https://www.airbnb.com/rooms/4650411,
https://www.airbnb.com/rooms/4662821,103.0
https://www.airbnb.com/rooms/4686917,77.0
https://www.airbnb.com/rooms/4708093,104.0
https://www.airbnb.com/rooms/4742009,85.0
https://www.airbnb.com/rooms/4756813,91.0
https://www.airbnb.com/rooms/4816049,104.0
https://www.airbnb.com/rooms/4993460,103.0
https://www.airbnb.com/rooms/5005154,98.0
https://www.airbnb.com/rooms/5033349,91.0
https://www.airbnb.com/rooms/5043110,111.0
https://www.airbnb.com/rooms/5073708,67.0
https://www.airbnb.com/rooms/5175692,98.0
https://www.airbnb.com/rooms/5176181,104.0
https://www.airbnb.com/rooms/5178794,52.0
https://www.airbnb.com/rooms/5187506,98.0
https://www.airbnb.com/rooms/5211045,104.0
https://www.airbnb.com/rooms/5236533,130.0
https://www.airbnb.com/rooms/5250241,104.0
https://www.airbnb.com/rooms/5252588,104.0
https://www.airbnb.com/rooms/5259552,106.0
https://www.airbnb.com/rooms/5274986,91.0
https://www.airbnb.com/rooms/5328141,91.0
https://www.airbnb.com/rooms/5331229,
https://www.airbnb.com/rooms/5426378,104.0
https://www.airbnb.com/rooms/5442289,98.0
https://www.airbnb.com/rooms/5457340,85.0
https://www.airbnb.com/rooms/5463966,
https://www.airbnb.com/rooms/5480741,125.0
https://www.airbnb.com/rooms/5495589,78.0
https://www.airbnb.com/rooms/5577124,91.0
https://www.airbnb.com/rooms/5587949,72.0
https://www.airbnb.com/rooms/5734447,76.0
https://www.airbnb.com/rooms/5743621,104.0
https://www.airbnb.com/rooms/5793696,98.0
https://www.airbnb.com/rooms/5799836,91.0
https://www.airbnb.com/rooms/5801696,195.0
https://www.airbnb.com/rooms/5812754,103.0
https://www.airbnb.com/rooms/5832248,91.0
https://www.airbnb.com/rooms/5841085,94.0
https://www.airbnb.com/rooms/5844891,77.0
https://www.airbnb.com/rooms/5897577,103.0
https://www.airbnb.com/rooms/5949990,98.0
https://www.airbnb.com/rooms/5996800,91.0
https://www.airbnb.com/rooms/6003107,104.0
https://www.airbnb.com/rooms/6029627,98.0
https://www.airbnb.com/rooms/6092008,52.0
https://www.airbnb.com/rooms/6119917,84.0
https://www.airbnb.com/rooms/6130866,
https://www.airbnb.com/rooms/6142151,
https://www.airbnb.com/rooms/6160648,98.0
https://www.airbnb.com/rooms/6188882,107.0
https://www.airbnb.com/rooms/6209063,90.0
https://www.airbnb.com/rooms/6222967,98.0
https://www.airbnb.com/rooms/6268399,104.0
https://www.airbnb.com/rooms/6282708,65.0
https://www.airbnb.com/rooms/6315173,52.0
https://www.airbnb.com/rooms/6334721,103.0
https://www.airbnb.com/rooms/6380483,98.0
https://www.airbnb.com/rooms/6382961,45.0
https://www.airbnb.com/rooms/6390161,104.0
https://www.airbnb.com/rooms/6393669,72.0
https://www.airbnb.com/rooms/6412724,
https://www.airbnb.com/rooms/6473367,52.0
https://www.airbnb.com/rooms/6508593,89.0
https://www.airbnb.com/rooms/6517880,
https://www.airbnb.com/rooms/6526558,68.0
https://www.airbnb.com/rooms/6586112,107.0
https://www.airbnb.com/rooms/6591870,98.0
https://www.airbnb.com/rooms/6592498,60.0
https://www.airbnb.com/rooms/6622972,89.0
https://www.airbnb.com/rooms/6626185,111.0
https://www.airbnb.com/rooms/6756226,59.0
https://www.airbnb.com/rooms/6766330,84.0
https://www.airbnb.com/rooms/6789549,95.0
https://www.airbnb.com/rooms/6789991,91.0
https://www.airbnb.com/rooms/6819565,78.0
https://www.airbnb.com/rooms/6827113,98.0
https://www.airbnb.com/rooms/6830389,94.0
https://www.airbnb.com/rooms/6884991,104.0
https://www.airbnb.com/rooms/6891298,99.0
https://www.airbnb.com/rooms/6892870,108.0
https://www.airbnb.com/rooms/6917553,104.0
https://www.airbnb.com/rooms/6924678,91.0
https://www.airbnb.com/rooms/6925008,78.0
https://www.airbnb.com/rooms/6935137,
https://www.airbnb.com/rooms/6964631,78.0
https://www.airbnb.com/rooms/6996158,104.0
https://www.airbnb.com/rooms/6999266,104.0
https://www.airbnb.com/rooms/7006879,111.0
https://www.airbnb.com/rooms/7020636,104.0
